file,line,address,class,tier,operand,offset,width,resolution,member,member_offset,member_size,commented_offset,receiver_is_subobject,confidence,evidence
src/ambience.cpp,849,0x00447850,SAmbience,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,881,0x00447B90,GAmbience,MISMATCH,this,,Ambience *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/ambience.cpp,882,0x00447B90,GAmbience,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/autosound.cpp,42,0x0062BA80,AutoSound,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/autosound.cpp,77,0x0062BBF0,AutoSound,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/autosound.cpp,110,0x0062BDD0,AutoSound,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/basebutton.cpp,53,0x00606F30,BaseButton,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/basebutton.cpp,105,0x006070C0,BaseButton,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/basebutton.cpp,164,0x00607040,BaseButton,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/basebutton.cpp,508,0x00607C80,,NO_COMPILE,this,,void ***,vtable-load,,,,,,proved,loads the vtable pointer at offset 0; the original installs its own vtables by hand
src/basebutton.cpp,646,0x00607210,,NO_COMPILE,this,,void ***,vtable-load,,,,,,proved,loads the vtable pointer at offset 0; the original installs its own vtables by hand
src/basebutton.cpp,711,0x00607210,,NO_COMPILE,this,,void ***,vtable-load,,,,,,proved,loads the vtable pointer at offset 0; the original installs its own vtables by hand
src/basebutton.cpp,735,0x00607210,BaseButton,NO_COMPILE,this,,char *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/basebutton.cpp,736,0x00607210,BaseButton,NO_COMPILE,self,0xa80,int *,exact-member-typeable,bubble_text_,0xa80,4,,,derived,
src/basepop.cpp,523,0x00601BB0,BasePop,MNEMONIC_ONLY,this,0x2228,uint8_t *,inside-declared-member,dialogs_,0x21d0,3220,,,derived,
src/basepop.cpp,558,0x00601B20,BasePop,MISMATCH,this,0x21d0,uint8_t *,exact-member-typeable,dialogs_,0x21d0,3220,,,derived,
src/basepop.cpp,701,0x00558FC0,BasePop,NO_COMPILE,this,0x20,uint8_t *,inside-declared-member,auto_sound_,0x0,152,,,derived,
src/basepop.cpp,730,0x00558FC0,BasePop,NO_COMPILE,this,0x20,uint8_t *,inside-declared-member,auto_sound_,0x0,152,,,derived,
src/basepop.cpp,770,0x00558FC0,BasePop,NO_COMPILE,this,0x21d0,uint8_t *,exact-member-typeable,dialogs_,0x21d0,3220,,,derived,
src/basepop.cpp,811,0x00601BD0,BasePop,NO_COMPILE,this,0x2228,uint8_t *,inside-declared-member,dialogs_,0x21d0,3220,,,derived,
src/basewin.cpp,214,0x0041DCD0,BaseWin,MNEMONIC_ONLY,this,-0xa14,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/basewin.cpp,235,0x0041DCF0,BaseWin,MNEMONIC_ONLY,this,-0xa14,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/basewin.cpp,256,0x0041E4D0,BaseWin,MNEMONIC_ONLY,this,-0xa14,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/basewin.cpp,277,0x0041E4F0,BaseWin,MNEMONIC_ONLY,this,-0xa14,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/basewin.cpp,321,0x0041DC80,BaseWin,MISMATCH,this,0x40100,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/basewin.cpp,323,0x0041DC80,BaseWin,MISMATCH,this,-0xa14,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/basewin.cpp,467,0x0041B1E0,BaseWin,NO_COMPILE,this,,char *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/basewin.cpp,468,0x0041B1E0,BaseWin,NO_COMPILE,self,,Win *,unresolvable,,,,,,derived,alias used with no constant displacement
src/basewin.cpp,469,0x0041B1E0,BaseWin,NO_COMPILE,self,0xa14,SubInterface *,exact-member-typeable,vtable_,0xa14,4,,,derived,
src/basewin.cpp,504,0x0041B1E0,BaseWin,NO_COMPILE,this,0x40b10,char *,exact-member-typeable,field_40B10_,0x40b10,4,0x40b10,,derived,
src/battlewin.cpp,58,0x00422ED0,BattleWin,MISMATCH,this,0x8,uint8_t *,exact-member-typeable,time_storage_,0x8,40,0x8,,derived,
src/battlewin.cpp,187,0x00422ED0,BattleWin,MISMATCH,this,,SubInterface*,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/buffer.cpp,54,0x005D7210,Buffer,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/buffer.cpp,107,0x005D7210,Buffer,NO_COMPILE,this,0x580,uint8_t *,exact-member-typeable,field_580_,0x580,1,0x580,,derived,
src/buffer.cpp,114,0x005D7210,Buffer,NO_COMPILE,this,0x88,uint8_t *,exact-member-typeable,field_88_,0x88,2,0x88,,derived,
src/buffer.cpp,116,0x005D7210,Buffer,NO_COMPILE,this,0x8a,uint8_t *,exact-member-typeable,field_8A_,0x8a,2,0x8a,,derived,
src/buffer.cpp,128,0x005D7210,Buffer,NO_COMPILE,this,0xa4,uint8_t *,exact-member-typeable,dib_,0xa4,1024,,,derived,
src/buffer.cpp,132,0x005D7210,Buffer,NO_COMPILE,this,0xa4,volatile uint8_t *,exact-member-typeable,dib_,0xa4,1024,,,derived,
src/buffer.cpp,362,0x005E3373,Buffer,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/buffer.cpp,417,0x005E34A3,Buffer,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/buffer.cpp,593,0x005D7470,Buffer,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/buffer.cpp,683,0x005D7470,Buffer,NO_COMPILE,this,0x580,uint8_t *,exact-member-typeable,field_580_,0x580,1,0x580,,derived,
src/buffer.cpp,744,0x005D7410,Buffer,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/buffer.cpp,749,0x005D7410,Buffer,MISMATCH,this,0x4b0,uint8_t *,exact-member-typeable,spot_,0x4b0,12,,,derived,
src/caviar.cpp,87,0x00616DA0,Caviar,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/caviar.cpp,114,0x006182A0,Caviar,NO_COMPILE,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/caviar.cpp,140,0x006183B0,Caviar,NO_COMPILE,this,0xd5,uint8_t *,inside-declared-member,field_A5_,0xa5,99,0xa5,,derived,
src/caviar.cpp,161,0x006183C0,Caviar,MISMATCH,this,0xd5,uint8_t *,inside-declared-member,field_A5_,0xa5,99,0xa5,,derived,
src/caviar.cpp,408,0x00618370,Caviar,MNEMONIC_ONLY,this,0x38,uint8_t *,exact-member-typeable,field_38_,0x38,4,0x38,,derived,
src/checkbox.cpp,50,0x0060E7C0,CheckBox,NO_COMPILE,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/checkbox.cpp,100,0x0060EB50,CheckBox,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/checkbox.cpp,135,0x0060ECC0,CheckBox,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/checkbox.cpp,164,0x0060EC80,CheckBox,MISMATCH,this,,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/checkbox.cpp,205,0x0060EC80,CheckBox,MISMATCH,this,-0x1c,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/checkbox.cpp,208,0x0060EC80,CheckBox,MISMATCH,this,-0x1c,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/checkbox.cpp,239,0x0060EC80,CheckBox,MISMATCH,this,0xd4,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/checkbox.cpp,242,0x0060EC80,CheckBox,MISMATCH,this,-0x1c,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/checkbox.cpp,245,0x0060EC80,CheckBox,MISMATCH,this,-0x1c,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/checkbox.cpp,248,0x0060EC80,CheckBox,MISMATCH,this,-0x1c,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/console.cpp,169,0x0050F650,Console,MISMATCH,this,0x23d1c,uint8_t *,exact-member-typeable,field_23D1C_,0x23d1c,4,0x23d1c,,derived,
src/console.cpp,445,0x005108A0,Console,NO_COMPILE,this,0x23c00,uint8_t *,exact-member-typeable,field_23C00_,0x23c00,4,0x23c00,,derived,
src/console.cpp,563,0x0051D740,Console,MNEMONIC_ONLY,this,,char *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/console.cpp,564,0x0051D740,Console,MNEMONIC_ONLY,self,0x23bdc,int *,exact-member-typeable,field_23BDC_,0x23bdc,4,0x23bdc,,derived,
src/councwin.cpp,331,,,,this,,char *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/councwin.cpp,332,,,,self,,int *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/councwin.cpp,334,,,,self,,int *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/councwin.cpp,370,0x00427130,CouncWin,NO_COMPILE,this,,Win *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/datalink.cpp,688,0x0044CB60,,MNEMONIC_ONLY,this,,char *,unresolvable,,,,,,derived,?help_topic@@YAXIH@Z scopes to no class
src/datalink.cpp,689,0x0044CB60,,MNEMONIC_ONLY,self,0x2a38,int *,unresolvable,,,,,,derived,?help_topic@@YAXIH@Z scopes to no class
src/datalink.cpp,708,0x0044CB60,,MNEMONIC_ONLY,this,,Win *,unresolvable,,,,,,derived,?help_topic@@YAXIH@Z scopes to no class
src/datalink.cpp,709,0x0044CB60,,MNEMONIC_ONLY,this,0xa14,char *,unresolvable,,,,,,derived,?help_topic@@YAXIH@Z scopes to no class
src/datalink.cpp,726,0x0044CB60,,MNEMONIC_ONLY,this,,Win *,unresolvable,,,,,,derived,?help_topic@@YAXIH@Z scopes to no class
src/datalink.cpp,727,0x0044CB60,,MNEMONIC_ONLY,this,0xa14,char *,unresolvable,,,,,,derived,?help_topic@@YAXIH@Z scopes to no class
src/deletionlist.cpp,39,,,,this,,uint8_t *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/dialog.cpp,389,0x00608E10,Dialog,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/dialog.cpp,399,0x00608E10,Dialog,NO_COMPILE,this,0xbc,uint8_t *,exact-member-typeable,field_BC_,0xbc,4,0xbc,,derived,
src/dialog.cpp,409,0x00608E10,Dialog,NO_COMPILE,this,0xe4,uint8_t *,exact-member-typeable,field_E4_,0xe4,4,0xe4,,derived,
src/dialogs.cpp,,0x00612ED0,Dialogs,MNEMONIC_ONLY,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00612EF0,Dialogs,MNEMONIC_ONLY,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00612F10,Dialogs,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00612F40,Dialogs,MNEMONIC_ONLY,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00612F60,Dialogs,MNEMONIC_ONLY,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00612F80,Dialogs,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00612FA0,Dialogs,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00612FC0,Dialogs,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00406910,Dialogs,NO_COMPILE,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/dialogs.cpp,,0x00406910,Dialogs,NO_COMPILE,base,,uintptr_t,unresolvable,,,,,,derived,alias used with no constant displacement
src/dialogs.cpp,,0x00406910,Dialogs,NO_COMPILE,base,,ListBox *,unresolvable,,,,,,derived,alias used with no constant displacement
src/dialogs.cpp,,0x00407100,Dialogs,NO_COMPILE,base,,Dialogs *,unresolvable,,,,,,derived,alias used with no constant displacement
src/dialogs.cpp,,0x00407100,Dialogs,NO_COMPILE,base,0xba0,Dialog *,layout-unreadable,,,,,,hypothesis,"class_layouts cannot total this class, so no offset in it can be resolved"
src/dialogs.cpp,,0x00407100,Dialogs,NO_COMPILE,base,0x188,GraphicWin *,layout-unreadable,,,,,,hypothesis,"class_layouts cannot total this class, so no offset in it can be resolved"
src/dipedit.cpp,77,,,,this,,char *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/diplopop.cpp,244,,,,this,,Win *,outside-any-catalogued-body,,,,,,derived,no `Original Offset:` precedes this line
src/diplowin.cpp,393,0x004413C0,DiploWin,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/diplowin.cpp,394,0x004413C0,DiploWin,MISMATCH,self,0xa1c,int32_t *,exact-member-typeable,field_A1C_,0xa1c,4,0xa1c,,derived,
src/diplowin.cpp,395,0x004413C0,DiploWin,MISMATCH,self,0xa24,int32_t *,exact-member-typeable,field_A24_,0xa24,4,0xa24,,derived,
src/diplowin.cpp,417,0x004413C0,DiploWin,MISMATCH,this,,Win *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/diplowin.cpp,418,0x004413C0,DiploWin,MISMATCH,this,0xa14,char *,exact-member-typeable,field_A14_,0xa14,4,0xa14,,derived,
src/diplowin.cpp,436,0x004413C0,DiploWin,MISMATCH,this,,Win *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/diplowin.cpp,437,0x004413C0,DiploWin,MISMATCH,this,,VCall *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/flatbutton.cpp,43,0x00607DA0,FlatButton,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/flatbutton.cpp,60,0x00607DA0,FlatButton,NO_COMPILE,this,0xaec,uintptr_t,exact-member-typeable,field_AEC_,0xaec,4,0xaec,,derived,
src/flatbutton.cpp,84,0x00406880,FlatButton,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/fx.cpp,98,0x00448290,FX,MNEMONIC_ONLY,this,,char *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/fx.cpp,115,0x00448290,FX,MNEMONIC_ONLY,this,,char *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/fx.cpp,133,0x00448290,FX,MNEMONIC_ONLY,this,,char *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/graphicwin.cpp,73,0x005D4CF0,GraphicWin,MISMATCH,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/graphicwin.cpp,145,0x005D4E40,GraphicWin,NO_COMPILE,this,0x444,uint8_t *,exact-member-typeable,buffer_,0x444,1416,,,derived,
src/graphicwin.cpp,149,0x005D4E40,GraphicWin,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/graphicwin.cpp,250,0x005D5440,GraphicWin,MNEMONIC_ONLY,this,0x444,uint8_t *,exact-member-typeable,buffer_,0x444,1416,,,derived,
src/graphicwin.cpp,312,0x005D5250,GraphicWin,NO_COMPILE,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/graphicwin.cpp,385,0x005D5A70,GraphicWin,NO_COMPILE,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/graphicwin.cpp,519,0x005D4EF0,GraphicWin,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/graphicwin.cpp,577,0x005D4EF0,GraphicWin,NO_COMPILE,this,,uintptr_t,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/graphicwin.cpp,630,0x005D4EF0,GraphicWin,NO_COMPILE,this,,Win *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/listbox.cpp,80,0x00609F20,ListBox,NO_COMPILE,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/listbox.cpp,138,0x00609EC0,ListBox,NO_COMPILE,this,,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/listbox.cpp,204,0x00609EC0,ListBox,NO_COMPILE,this,0xa8,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/listbox.cpp,207,0x00609EC0,ListBox,NO_COMPILE,this,-0x48,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/listbox.cpp,210,0x00609EC0,ListBox,NO_COMPILE,this,-0x48,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/listbox.cpp,213,0x00609EC0,ListBox,NO_COMPILE,this,-0x48,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/mapwin.cpp,119,0x00470F70,MapWin,NO_COMPILE,this,,const int32_t *const *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/mapwin.cpp,121,0x00470F70,MapWin,NO_COMPILE,this,,uint8_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/mapwin.cpp,152,0x0046EBA0,MapWin,MISMATCH,this,-0x21a6c,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/mapwin.cpp,176,0x0046EBE0,MapWin,MISMATCH,this,-0x21a6c,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/mapwin.cpp,416,0x00462960,MapWin,MNEMONIC_ONLY,this,-0x21a68,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/mapwin.cpp,417,0x00462960,MapWin,MNEMONIC_ONLY,this,-0x21a6c,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/mapwin.cpp,434,0x00462960,MapWin,MNEMONIC_ONLY,this,,char *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/mapwin.cpp,435,0x00462960,MapWin,MNEMONIC_ONLY,self,-0x3cfc,unsigned int *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/mapwin.cpp,436,0x00462960,MapWin,MNEMONIC_ONLY,self,-0x21a6c,MapWin *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
src/menu.cpp,529,0x005FB2A0,,MISMATCH,this,,void ***,vtable-load,,,,,,proved,loads the vtable pointer at offset 0; the original installs its own vtables by hand
src/menu.cpp,577,0x005FB360,,MISMATCH,this,,void ***,vtable-load,,,,,,proved,loads the vtable pointer at offset 0; the original installs its own vtables by hand
src/menu.cpp,625,0x005FB420,,MISMATCH,this,,void ***,vtable-load,,,,,,proved,loads the vtable pointer at offset 0; the original installs its own vtables by hand
src/menu.cpp,673,0x005FB4E0,,MISMATCH,this,,void ***,vtable-load,,,,,,proved,loads the vtable pointer at offset 0; the original installs its own vtables by hand
src/multidebug.cpp,61,0x005C98E0,MultiDebug,NO_COMPILE,this,,VCall *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/net_class.cpp,80,0x00631A20,Net,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/net_class.cpp,86,0x00631A20,Net,MISMATCH,bytes,0x169,char *,exact-member-typeable,field_169_,0x169,1387,0x169,,derived,
src/netdaemon.cpp,355,0x005310F0,NetDaemon,NO_COMPILE,this,,volatile uint32_t *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/netwin.cpp,183,0x00483820,NetWin,MISMATCH,this,,uint8_t *,alias-binding,,,,,,proved,binds the alias later offsets are measured from; carries no displacement itself
src/netwin.cpp,184,0x00483820,NetWin,MISMATCH,self,0x178,uint32_t *,layout-unreadable,,,,,,hypothesis,"class_layouts cannot total this class, so no offset in it can be resolved"
src/palette.cpp,48,0x005FE560,Palette,NO_COMPILE,this,,uintptr_t,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/popup.cpp,792,0x004456B0,,NO_COMPILE,this,,uint8_t *,unresolvable,,,,,,derived,?popup_wave_callback@@YAXPAUPopupWave@@H@Z scopes to no class
src/popup.cpp,794,0x004456B0,,NO_COMPILE,self,0x30ac,const int32_t *,unresolvable,,,,,,derived,?popup_wave_callback@@YAXPAUPopupWave@@H@Z scopes to no class
src/popup.cpp,796,0x004456B0,,NO_COMPILE,self,0x30d0,int32_t *,unresolvable,,,,,,derived,?popup_wave_callback@@YAXPAUPopupWave@@H@Z scopes to no class
src/popup.cpp,817,0x004456B0,,NO_COMPILE,this,,Win *,unresolvable,,,,,,derived,?popup_wave_callback@@YAXPAUPopupWave@@H@Z scopes to no class
src/pulldown.cpp,212,0x005F9F40,PullDown,NO_COMPILE,this,,uintptr_t,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/pulldown.cpp,467,0x005F88A0,PullDown,NO_COMPILE,this,,VCall *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/pulldown.cpp,468,0x005F88A0,PullDown,NO_COMPILE,this,,Win *,whole-object-cast,,,,,,proved,"reinterprets the whole object, no displacement - a base or sub-object view, not a member access"
src/radiobutton.cpp,50,0x0060D1B0,RadioButton,NO_COMPILE,this,,uint8_t *,receiver-is-subobject,,,,,1,proved,a negative offset in this body proves `this` is not the declared class
